ticker,bps,per,pbr,eps,div,dps,sector,valuation_label,sector_median_per,sector_median_pbr
138930,33604,10.42,0.67,2174,2.87,650,기타금융,적정,10.66,0.89
012030,2060,3.99,0.94,486,0.0,0,IT 서비스,저평가,28.54,3.08
241520,4308,36.32,3.41,405,0.27,40,금융,고평가,37.0,2.24
006360,51998,7.93,0.44,2893,1.31,300,건설,저평가,28.6,2.015
097230,4125,419.53,6.51,64,0.0,0,건설,고평가,28.6,2.015
011200,31615,4.63,0.73,4999,2.59,600,운송·창고,적정,7.05,0.73
403870,3458,43.47,13.27,1056,1.31,600,기계·장비,고평가,71.735,4.875
175330,29348,10.9,1.28,3439,2.65,995,기타금융,고평가,10.66,0.89
067290,482,27.25,5.15,91,0.0,0,제약,적정,36.205,4.785
105560,154949,13.11,1.09,12880,1.88,3174,기타금융,고평가,10.66,0.89
034220,13085,0.0,1.02,0,0.0,0,전기·전자,적정,47.02,3.26
064400,24257,17.13,2.95,4180,2.34,1672,IT 서비스,적정,28.54,3.08
066570,116595,60.71,1.06,2036,0.81,1000,전기·전자,고평가,47.02,3.26
417200,2728,191.67,5.9,84,0.0,0,전기·전자,고평가,47.02,3.26
078020,14067,30.79,0.58,265,1.23,100,금융,적정,37.0,2.24
060250,6717,19.5,3.39,1169,0.44,100,금융,고평가,37.0,2.24
005940,23474,19.94,1.67,1966,2.42,950,증권,고평가,16.97,1.19
332570,2089,0.0,2.59,0,0.0,0,전기·전자,적정,47.02,3.26
036540,3030,56.23,2.41,130,0.0,0,전기·전자,적정,47.02,3.26
255220,1038,0.0,2.89,0,0.0,0,비금속,고평가,20.759999999999998,2.06
004060,1346,21.89,0.44,27,0.0,0,유통,저평가,38.195,1.2999999999999998
357880,305,0.0,7.49,0,0.0,0,IT 서비스,고평가,28.54,3.08
001740,10588,23.47,0.53,239,5.35,300,유통,저평가,38.195,1.2999999999999998
096770,165656,0.0,0.77,0,1.57,2000,화학,적정,37.74,4.12
475150,7187,44.39,4.18,677,0.0,0,건설,고평가,28.6,2.015
001510,1319,0.0,1.42,0,0.05,1,증권,적정,16.97,1.19
017670,54952,13.98,1.47,5780,4.38,3540,통신,적정,13.98,1.47
000660,107256,33.03,8.85,28732,0.23,2204,전기·전자,고평가,47.02,3.26
289080,1313,0.0,2.99,0,0.0,0,금융,고평가,37.0,2.24
139130,36006,19.31,0.6,1121,2.31,500,기타금융,고평가,10.66,0.89
098460,4898,100.0,6.51,319,0.44,140,기계·장비,고평가,71.735,4.875
009290,14719,10.29,0.71,1011,0.96,100,제약,저평가,36.205,4.785
204620,1561,63.61,3.38,83,0.0,0,금융,고평가,37.0,2.24
000270,141812,6.9,1.21,24893,3.78,6500,운송장비·부품,저평가,27.314999999999998,2.665
024110,42570,9.19,0.67,3106,3.73,1065,은행,저평가,31.06,0.92
242040,1070,0.0,3.43,0,0.0,0,IT 서비스,적정,28.54,3.08
267320,1617,0.0,2.34,0,0.0,0,기계·장비,적정,71.735,4.875
